tytul;powierzchnia;l_pokoi;pietro;rok_budowy;cena;miejsce;Ulica
4 pokoje - centrum Wrzeszcza, idealna inwestycja!;65.59;4;1;1960;560000;Gdańsk Wrzeszcz;
Bez prowizji Gdańsk Siedlce mieszkanie 5 pokoi;72.8;5;1;1990;549000;Gdańsk Siedlce;
Mieszkanie w najładniejszej kamienicy w sąsiedztwi;42.0;1;1;1900;445000;Gdańsk Śródmieście;
Mieszkanie - Gdańsk Stare Miasto;67.4;3;2;1950;815000;Gdańsk Śródmieście;
3pokoje z potencjałem na 4/ Żabianka;59.0;3;0;NaN;547000;Gdańsk Żabianka;
Mieszkanie Gdańsk Śródmieście  35 m2;35.0;1;6;2019;550000;Gdańsk Śródmieście;
0, 3 pokoje, Ogródek;68.72;3;0;2007;420000;Gdańsk Kowale;
Mieszkanie w okolicy śródmieścia GDAŃSK;44.0;2;0;NaN;378000;Gdańsk Młyniska;
Kwartał Kamienic - Oferta Premium!;56.3;2;0;2013;950000;Gdańsk Śródmieście;
Mieszkanie - Gdańsk Ujeścisko;45.16;2;2;2016;424000;Gdańsk Ujeścisko;
Słoneczne 3 pokojowe mieszkanie z niezależną kuchnią - Gdańsk Chełm;63.4;3;4;1989;495000;Gdańsk Chełm;
3 pokojowe, słoneczne z dużym balkonem Orunia Górna;56.9;3;4;1995;455000;Gdańsk Orunia Górna;
HIT CENOWY! WAŻNE DO 31.07  595 000zł + HALA GRTIS;72.0;3;1;2016;595000;Gdańsk Jasień;
Żabianka 3 pokoje/blisko morza i SKM/ do remontu;56.1;3;5;1975;475000;Gdańsk Żabianka;
Mieszkanie w sercu Wrzeszcza!;80.0;3;3;1906;699000;Gdańsk Wrzeszcz;
Apartament w centrum, przy Gdańskiej Marinie;87.0;4;5;2018;1230000;Gdańsk Długie Ogrody;
Gdańsk, mieszkanie 57 m2, cena: 524 857 zł.;57.0;3;1;1920;524857;Gdańsk Wrzeszcz;
DUŻE MIESZKANIE INWESTYCYJNE WE WRZESZCZU!;65.6;4;1;1960;524000;Gdańsk Wrzeszcz;
Dwupokojowe mieszkanie gotowe do zamieszkania;48.0;2;2;2016;424000;Gdańsk Ujeścisko;
Apartament z dużym tarasem na Śródmieściu;87.56;4;5;2018;1230000;Gdańsk Długie Ogrody;
Zjawiskowy apartament na Morenie;77.0;3;3;2005;675000;Gdańsk Morena;
Mieszkanie - Gdańsk Jasień;72.0;3;0;2016;620000;Gdańsk Jasień;
3 pokoje/Kossaka/po całkowitym remoncie;60.96;3;1;1962;619000;Gdańsk Wrzeszcz;
Mieszkanie Gdańsk Śródmieście Toruńska 58 m2;58.0;2;2;2012;670000;Gdańsk Śródmieście;
Słoneczny apartament nad brzegiem Motławy;73.0;3;2;2011;980000;Gdańsk Długie Ogrody;
Kup, zainwestuj, wynajmuj i zarabiaj!;83.1;3;2;2011;1049000;Gdańsk Przymorze;
Inwestycyjne-osiedle Sadowa/Gdańsk Stare Miasto;42.39;2;4;2016;579500;Gdańsk Długie Ogrody;
Apartament - w pobliżu plaży i morza - Brzeźno;66.0;3;7;2019;769000;Gdańsk Brzeźno;
Mieszkanie Gdańsk Śródmieście  28 m2;28.0;1;3;NaN;419000;Gdańsk Śródmieście;
Widok na rzekę - prawdziwe foto - klimatyzacja;34.2;2;6;2017;510000;Gdańsk Śródmieście;
Zamieszkaj w ekskluzywnym apartamencie!;50.24;2;2;2016;699000;Gdańsk Przymorze;
Mieszkanie W Świetnej Lokalizacji! Gdańsk Wrzeszcz;41.4;2;2;1957;382000;Gdańsk Wrzeszcz;
Dwupokojowe w pełni wyposażone Gdansk Osowa;30.0;2;2;2009;285000;Gdańsk Osowa;
Mieszkanie Gdańsk   49 m2;49.0;2;4;NaN;750000;Gdańsk;
NOWA CENA!! Przestronne 3- pokojowe mieszkanie;65.7;3;1;2010;559000;Gdańsk Jasień;
Gdańsk Oliwa mieszkanie w zielonej części miasta!;56.74;3;3;NaN;615000;Gdańsk Oliwa;
Poranny mecz tenisa na swoim osiedlu? Czy jogging?;46.97;2;4;2019;550000;Gdańsk Przymorze;
Apartament blisko morza;95.95;4;5;NaN;1030000;Gdańsk Wrzeszcz;
Nowość! 53,47m2 Nowe budownictwo Łostowice;53.47;2;2;2016;389000;Gdańsk Łostowice;
Mieszkanie Gdańsk Przeróbka Joachima Pastoriusza 27 m2;27.0;2;1;NaN;249000;Gdańsk Przeróbka;
Penthouse z tarasem 80 M2 !!!;87.56;4;5;2018;1230000;Gdańsk Długie Ogrody;
3 pokoje z oddzielną kuchnią i dużym tarasem, 1 p.;73.0;3;1;2009;599000;Gdańsk Morena;
3 pokoje na Przymorzu;51.0;3;4;1980;469000;Gdańsk Przymorze;
Mieszkanie Gdańsk Przymorze Obrońców Wybrzeża 30 m2;30.0;2;5;NaN;330000;Gdańsk Przymorze;
Mieszkanie Gdańsk Żabianka Sztormowa 54 m2;54.0;3;0;NaN;505000;Gdańsk Żabianka;
Świetne pod wynajem! 2 pok., blisko morza;46.0;2;4;1975;379000;Gdańsk Przymorze;
Duży taras z pięknym widokiem + mieszkanie.;87.5;4;5;2018;1230000;Gdańsk Długie Ogrody;
Stylowe mieszkanie Gdańsk widok na Motławę;86.7;2;3;1901;1080000;Gdańsk;
Apartament z widokiem na motławę !;98.0;3;1;2011;1320000;Gdańsk Długie Ogrody;
Mieszkanie Gdańsk Wrzeszcz  57 m2;57.0;3;1;NaN;509857;Gdańsk Wrzeszcz;
Wyjątkowe i niebanalne mieszkanie dla rodziny;85.4;5;3;2015;768000;Gdańsk Jasień;
2 pokoje - w cenie piwnica i strych na wyłączność;45.0;2;2;1936;439000;Gdańsk Wrzeszcz;
Dobra inwestycja w Centrum Wrzeszcza;65.59;4;1;1960;539000;Gdańsk Wrzeszcz;
Mieszkanie po generalnym remoncie- Blisko plaży;65.0;4;1;NaN;599000;Gdańsk Przymorze;
3 pokoje - Wiszące Ogrody;57.71;3;1;2006;580000;Gdańsk Kiełpinek;
2 pokoje! Zajezdnia Wrzeszcz;29.0;2;5;2019;363500;Gdańsk Brzeźno;
Mieszkanie - Gdańsk Śródmieście;41.0;3;0;1935;430000;Gdańsk Śródmieście;
Gdańsk Okazja Ogród Lokalizacja 3 pokoje;67.0;4;0;2006;499999;Gdańsk Orunia Górna;
Prestiżowa oferta! Apartament z tarasem 70 m2!;50.8;2;1;2018;890000;Gdańsk Stare Przedmieście;
Jedyny taki Apartament na Przymorzu/ 900m do plaży;31.0;2;1;1975;399000;Gdańsk Przymorze;
Zjawiskowy apartament Oliwa!;130.0;4;1;2015;1580000;Gdańsk Oliwa;
Luksusowy 3 pok apartament- Botanica Jelitkowo;82.0;3;1;2019;2090000;Gdańsk Jelitkowo;
Nowe, kompletnie urządzone, 3 sypialnie, 2 łazienki, parking;72.0;4;0;1910;770000;Gdańsk Oliwa;
Dwustronne mieszkanie z miejscem postojowym;65.59;4;1;1960;529000;Gdańsk Wrzeszcz;
Mieszkanie - Gdańsk Śródmieście, 699 000 zł;47.1;2;3;1955;699000;Gdańsk Śródmieście;
Mieszkanie - Gdańsk Śródmieście;67.0;3;0;1903;429000;Gdańsk Dolne Miasto;
Mieszkanie 3-pokojowe na Przymorzu w Inwestycji Trzy Żagle - wysoki standard!;64.0;3;6;2015;860000;Gdańsk Przymorze;
Poranny mecz tenisa na swoim osiedlu? Czy jogging?;46.97;2;4;2019;550000;Gdańsk Wrzeszcz;
Dwupokojowe mieszkanie, oddzielna kuchnia Wrzeszcz;50.0;2;3;1985;449000;Gdańsk Wrzeszcz;
Mieszkanie - Gdańsk Łostowice;72.0;3;3;2013;475000;Gdańsk Łostowice;
Mieszkanie Gdańsk Oliwa  130.15 m2;130.15;4;NaN;NaN;2286550;Gdańsk Oliwa;
Mieszkanie - Gdańsk Śródmieście;47.7;2;4;2016;740000;Gdańsk Stare Przedmieście;
Kawalerka na Suchaninie ul. Paderewskiego - blisko Politechnika Gdańska, gumed, starówka;31.0;1;4;1985;300000;Gdańsk Suchanino;
Gdańsk ul. Mostek 2 niezależne pokoje !;42.2;2;1;1930;430000;Gdańsk Śródmieście;
2 min tramwaj ,10 minut plaża , ogródek !;66.0;4;1;1960;540000;Gdańsk Wrzeszcz;
Mieszkanie na Jaśkówce, idealne pod inwestycje;128.0;5;3;1904;1036800;Gdańsk Wrzeszcz;
Apartament z balkonem i ogródkiem | FILM;47.0;2;0;1996;495000;Gdańsk Matarnia - Rębiechowo;
Gdańsk Ujeścisko Ujeścisko;67.36;4;1;2012;519000;Gdańsk Ujeścisko;
Mieszkanie z potencjałem na dobrą inwestycję!;41.0;2;5;1970;340000;Gdańsk Długie Ogrody;
Mieszkanie-4 minuty od Centrum, cena do negocjacji;88.2;5;2;1930;799000;Gdańsk Suchanino;
3 POKOJE/ GDAŃSK MORENA/ WYSOKI STANDARD;65.7;3;1;2010;559000;Gdańsk Jasień;
Piękny widok /słoneczne / duży balkon / 3 pokoje;41.6;3;6;2020;535000;Gdańsk Stare Przedmieście;
Dwupoziomowe mieszkanie na sprzedaż Gdańsk Osowa;72.0;3;3;2000;459000;Gdańsk Osowa;
ŚWIETNE 2 POKOJE POD WYNAJEM!;30.0;2;5;1970;330000;Gdańsk Przymorze;
Z ogródkiem, nad stawem, atrakcyjne, Zakoniczyn;47.0;2;0;2011;415000;Gdańsk Zakoniczyn;
Przestronny, nowoczesny apartament, Gdańsk Starówka.;62.0;2;3;2017;865000;Gdańsk Długie Ogrody;
Apartament z dużym balkonem;29.52;1;8;2017;415000;Gdańsk Przymorze;
Słoneczne 2 pok. mieszkanie na Żabiance;41.07;2;4;1960;425000;Gdańsk Żabianka;
Żabianka, ul. Orłowska - 3 pok., 10 min. na plażę!;59.0;3;0;1975;547000;Gdańsk Żabianka;
Wrzeszcz - piękne, klimatyczne 2 pok. w kamienicy!;43.5;2;0;1940;456750;Gdańsk Wrzeszcz;
5 pokoi blisko Centrum Gdańska;77.25;5;1;1992;570000;Gdańsk Suchanino;
Komfortowy apartament z widokiem na motławę;132.5;3;4;2009;4500000;Gdańsk Śródmieście;
Mieszkanie w świetnej lokalizacji. (Możliwa zamiana na dom z doplatą);47.0;2;1;2008;379000;Gdańsk Ujeścisko;
Elegancki apartament ze słonecznym tarasem.;65.3;2;1;2010;990000;Gdańsk Długie Ogrody;
2 POKOJE/100 m do tramwaju/ UJEŚCISKO/ DUZY BALKON;48.0;2;3;2006;429000;Gdańsk Ujeścisko;
Mieszkanie Gdańsk Śródmieście  54.7 m2;54.7;2;2;2008;720000;Gdańsk Śródmieście;
Mieszkanie 2 pokojowe - gotowe do zamieszkania;48.2;2;4;NaN;459000;Gdańsk Zaspa;
Znakomita inwestycja w centrum Gdańska;50.0;2;2;2019;730000;Gdańsk Śródmieście;
CENTRUM / 3 POKOJE+GARDEROBA / WYSOKI STANDARD;53.67;3;3;2019;765000;Gdańsk Śródmieście;
Mieszkanie 3 pokojowe z garażem indywidualnym 1 piętro Morena;65.7;3;1;2010;559000;Gdańsk Morena;
Przestronne 4 pokoje w pobliżu Śródmieścia;114.0;4;5;1996;699000;Gdańsk Suchanino;
3 pokoje,wyposażone całkowicie, wirtualny spacer !;69.3;3;2;2012;484000;Gdańsk Św. Wojciech;
Klimatyczne 3 pokojowe w centralnej części Osowy!;60.65;3;2;2003;448300;Gdańsk Osowa;
Unikatowe apartamenty z prywatną mariną dla jachtu;41.5;2;2;2020;590000;Gdańsk Długie Ogrody;
Okazja! Morze, plaża, Gdańsk Żabianka;27.050;1;3;NaN;299000;Gdańsk Żabianka;
2 tarasy, 3 pokoje - Nadmorski Dwór;62.46;3;1;2014;1000000;Gdańsk Brzeźno;
Mieszkanie - Gdańsk Śródmieście;62.35;3;1;1957;685000;Gdańsk Śródmieście;
Poranny mecz tenisa na swoim osiedlu? Czy jogging?;64.57;3;2;2019;680000;Gdańsk Wrzeszcz;
3 pokoje, stan idealny do wprowadzenia;51.16;3;3;1930;435000;Gdańsk Wrzeszcz;
3 Niezależne Pokoje z Osobną kuchnią i Balkonem;54.0;3;3;1980;499000;Gdańsk Przymorze;
Gdańsk | Kawalerka z ogródkiem | Blisko centrum!;28.0;1;1;1950;244000;Gdańsk Przeróbka;
Mieszkanie36,14m2,stan dewelop.ogród, GD-Łostowice;36.14;2;0;2020;269000;Gdańsk Łostowice;
Apartament, Ostatnie Piętro, Śródmieście;65.26;2;5;2014;699000;Gdańsk Długie Ogrody;
"Apartament w inwestycji ""Bastion Wałowa"".";44.0;2;17;2017;699000;Gdańsk Śródmieście;
4 pokoje Gdańsk Żabianka Okazja Inwestycja;54.0;4;3;1985;585000;Gdańsk Żabianka;
Mieszkanie na Starym Mieście w Nowym Budownictwie;50.0;2;1;2013;750000;Gdańsk Śródmieście;
Nadmorski dwór - Ogród - Taras;100.0;4;0;2011;1850000;Gdańsk Brzeźno;
Mieszkanie - Gdańsk Oliwa;172.75;5;2;NaN;1650000;Gdańsk Oliwa;
Mieszkanie 3-pokojowe, Gdańsk Ujeścisko;69.0;3;2;NaN;620000;Gdańsk Ujeścisko;
Zjawiskowe mieszkanie Toruńska!;37.0;2;1;2020;535000;Gdańsk Stare Przedmieście;
Blisko Starówki - Świeżo po remoncie.;41.0;3;0;1945;380000;Gdańsk Śródmieście;
Mieszkanie Gdańsk Wrzeszcz  53 m2;53.0;3;3;NaN;525000;Gdańsk Wrzeszcz;
Apartament Gdansk-Jelitkowo;125.0;4;1;2017;3748000;Gdańsk Jelitkowo;
Mieszkanie do remontu w domu wolnostojącym;85.95;2;1;1976;590000;Gdańsk Wrzeszcz;
Środkowy szereg z ogródkiem. Świetna lokalizacja.;102.0;3;1;1930;850000;Gdańsk Suchanino;
Apartament 50 m od morza Kameralnie Faktura VAT;43.0;2;2;2019;1075000;Gdańsk Jelitkowo;
Kawalerka blisko plaży i UG idealne pod inwestycję;18.0;1;0;NaN;245000;Gdańsk Przymorze;
Mieszkanie 3-pokojowe na Przymorzu w Inwestycji Trzy Żagle - wysoki standard!;64.0;3;6;2015;860000;Gdańsk Przymorze;
4 pokoje, 2 balkony, m.p, piwnica, 4 km do Centrum;77.9;4;2;2007;655000;Gdańsk Ujeścisko;
Luksusowy apartament w pasie nadmorskim. idealny p;99.51;4;0;2014;1852000;Gdańsk Brzeźno;
Tramwaj, SKM, morze, umeblowane, 2 pok., Przymorze;47.0;2;2;1970;439000;Gdańsk Przymorze;
Mieszkanie Gdańsk Śródmieście  86.27 m2;86.27;4;3;1901;1080000;Gdańsk Śródmieście;
2-poziomowe mieszkanie w atrakcyjnej cenie!;80.0;4;3;NaN;555000;Gdańsk Zakoniczyn;
Dwupoziomowe, wolne od zaraz;61.0;2;3;2003;485000;Gdańsk Ujeścisko;
Mieszkanie - Gdańsk Śródmieście;49.3;2;1;1952;519000;Gdańsk Śródmieście;
Narożny apartament - Stare miasto;83.15;4;1;2019;815000;Gdańsk Długie Ogrody;
Duży dom blisko centrum Gdańska;280.0;3;0;NaN;1550000;Gdańsk Siedlce;
Apartament z ogrodem - Od zaraz;67.1;3;0;2019;725000;Gdańsk Długie Ogrody;
2 pok. Stare Miasto - doskonała inwestycja;49.5;2;1;1953;649000;Gdańsk Śródmieście;
Przestronne mieszkanie dwupokojowe;48.2;2;1;2012;450000;Gdańsk Morena;
Oliwa wyposażona kawalerka w Rezydencji.;36.0;1;3;2008;480000;Gdańsk Oliwa;
Dwa pokoje blisko OBWODNICY;45.0;2;3;2010;415000;Gdańsk Szadółki;
Mieszkanie na sprzedaż, Gdańsk, Wrzeszcz, 3 pokoje, 80,83 mkw, za 560000 zł;80.83;3;2;1900;560000;Gdańsk Wrzeszcz;
Nowoczesne mieszkanie gotowe do wprowadzenia.;62.79;3;6;2018;809000;Gdańsk Wrzeszcz;
Apartament kwartał kamienic;86.0;3;3;2012;1446000;Gdańsk Śródmieście;
Dwupokojowe mieszkanie w centrum Sobieszewa;43.59;2;2;1916;349000;Gdańsk Śródmieście;
11 piętro z widokiem na panoramę Gdańska;45.0;2;11;NaN;660000;Gdańsk Śródmieście;
Super inwestycja - widok na Motławę!;40.0;2;3;2017;650000;Gdańsk Stare Przedmieście;
Super inwestycja - widok na Motławę!;40.0;2;4;2017;650000;Gdańsk Stare Przedmieście;
Sprzedam mieszkanie 31m2 Gdańsk -Żabianka;31.0;2;1;1978;349000;Gdańsk Żabianka;
Mieszkanie 2 pok, 42,5 m2, 11 piętro, Żabianka!;42.5;2;11;1970;359000;Gdańsk Żabianka;
Mieszkanie - Gdańsk Zaspa;48.0;2;8;1974;395000;Gdańsk Zaspa;
Mieszkanie - Gdańsk Zaspa;60.0;3;2;1980;479000;Gdańsk Zaspa;
Nowoczesne mieszkanie na I piętrze;45.26;2;1;2015;390000;Gdańsk Kowale;
Mieszkanie - Gdańsk Jasień;54.0;2;1;2012;439000;Gdańsk Rębowo;
Przestronne mieszkanie w Gdańsku- Jasieniu;75.6;3;1;NaN;536000;Gdańsk Jasień;
Wyjątkowe mieszkanie w sercu Gdańska;28.0;1;3;1950;419900;Gdańsk Śródmieście;
Przestronne 3 pokoje na Ujeścisku!;63.0;3;2;NaN;449000;Gdańsk Ujeścisko;
Deo plaza - luksus & widok;75.19;2;2;2019;2218105;Gdańsk Śródmieście;
3 pokoje w idealnej lokalizacji;64.6;3;2;NaN;485000;Gdańsk Wrzeszcz;
Przestronny apartament na Morenie z tarasem;72.04;3;1;2008;590000;Gdańsk Morena;
KAWALERKA PRZYMORZE BLISKO PARKU REAGANA;18.0;1;0;1972;269000;Gdańsk Przymorze;
DO REMONTU/ TERENY REWITALIZOWANE/ POTENCJAŁ;65.0;3;2;1902;450000;Gdańsk Dolne Miasto;
Przestronne 3 pokojowe mieszkanie na kowalach;70.0;3;0;2000;550000;Gdańsk Kowale;
Piękne rodzinne mieszkanie z tarasem 44m2;73.0;3;0;2010;560000;Gdańsk Łostowice;
Odpocznij na słonecznym 19 metrowym balkonie;40.0;2;3;2012;435000;Gdańsk Łostowice;
Cztery wyjątkowe mieszkania w jednej nieruchomości;212.14;6;3;NaN;1990000;Gdańsk Dolne Miasto;
2 pokoje na Morenie w apartamentowcu w super cenie;41.0;2;2;NaN;440000;Gdańsk Ujeścisko;
Apartament 3 pok. na Morenie, ul. Wołkowyska, os. Morena Park;76.0;3;2;2007;721000;Gdańsk Morena;
Mieszkanie - Gdańsk Śródmieście;100.0;7;1;2018;1600000;Gdańsk Śródmieście;
Mieszkanie inwestycyjne - bez nakładów finansowych;73.4;6;3;1980;669000;Gdańsk Morena;
Bastion wałowa - 2 pokoje z garażem w cenie;48.5;2;4;2018;650000;Gdańsk Śródmieście;
GRANARIA;61.93;3;1;2019;1200000;Gdańsk Śródmieście;
Mieszkanie 3 pokojowe z parkingiem Chełm;69.0;3;2;2008;595000;Gdańsk Ujeścisko;
Wykończony, wygodny apartament z widokiem na rzekę;80.0;4;1;2019;1205100;Gdańsk Dolne Miasto;
3 oddzielne pokoje ZASPA blisko SKM;63.1;3;4;1983;557000;Gdańsk Zaspa;
3 pokoje na Żabiance blisko SKM;56.1;3;2;1975;499000;Gdańsk Żabianka;
Zielono mi...dwupoziomowe mieszkanie na Jasieniu. Bez prowizji.;67.79;2;3;2020;445000;Gdańsk Jasień;
Zamieszkaj na Jasieniu w otaczającej zieleni, 4 pokoje. Bez prowizji.;77.1;4;1;2020;486000;Gdańsk Jasień;
Apartamen 84M/św.barbary/stan deweloperski/okazja;83.15;4;1;2019;819000;Gdańsk Długie Ogrody;
Apartamen 68M/św.barbary/stan deweloperski/okazja;68.0;3;0;2019;719000;Gdańsk Długie Ogrody;
Mieszkanie Gdańsk 37m2;37.0;2;1;2020;545000;Gdańsk Stare Przedmieście;
Gdańsk Morena, 3 pok, 63 m2!!!!;62.4;3;4;1979;469000;Gdańsk Morena;
4 pokoje z ogródkiem, Gdańsk, Jasień. Bez prowizji.;57.32;4;0;2020;389000;Gdańsk Jasień;
Jasne 2 pok. z balkonem po remoncie| Śródmieście;48.0;2;2;1956;575950;Gdańsk Śródmieście;
2 pokoje w Przystani Letnica od zaraz!;42.92;2;5;2020;420000;Gdańsk Letnica;
2 pokoje w super lokalizacji, blisko tramwaju;36.0;2;1;2005;369000;Gdańsk Ujeścisko;
Mieszkanie - Gdańsk Stare Miasto;61.93;1;1;2020;1300468;Gdańsk Śródmieście;
Unikatowe apartamenty z prywatną mariną dla jachtu;41.5;2;2;2020;590000;Gdańsk Śródmieście;
APARTAMENT 2 POKOJE / CENTRUM / BLISKO STARÓWKI;45.75;2;2;1956;575950;Gdańsk Śródmieście;
Mieszkanie 97,5m2 w centrum Wrzeszcza w pięknej kamienicy;100.0;5;0;1914;770000;Gdańsk Wrzeszcz;
Gdańsk Zaspa - 20m2 taras;54.0;2;11;2013;669000;Gdańsk Zaspa;
3 POKOJE Z OGRODEM, PRZYMORZE, GDAŃSK;68.18;3;0;2016;870000;Gdańsk Przymorze;
Mieszkanie w Centrum wysoki standard;48.0;2;2;1956;575950;Gdańsk Śródmieście;
Inwestycyjny Apartament przy Długiej Grobli;88.0;3;4;2018;1100000;Gdańsk Długie Ogrody;
Mieszkanie - Gdańsk Morena;49.73;2;1;2011;440000;Gdańsk Morena;
JASIEŃ/ 3 POKOJE/ DUŻY BALKON/ SZYBKIE WYDANIE;55.19;3;2;2012;395000;Gdańsk Zakoniczyn;
Apartament nad Motławą!;72.7;3;2;2010;1190000;Gdańsk Długie Ogrody;
Komfortowe mieszkanie w wysokim standardzie!;75.0;3;2;2017;670000;Gdańsk Kiełpinek;
Trzypokojowe mieszkanie - Przystań Letnica;72.34;3;1;2020;750000;Gdańsk Letnica;
Dwa pokoje po generalnym remoncie- 10 min do morza;38.0;2;2;1977;450000;Gdańsk Przymorze;
2 POKOJE/PRZYMORZE/BLISKO MORZA;45.0;2;2;1970;389000;Gdańsk Przymorze;
Mieszkanie Gdańsk Stare Miasto;87.0;3;3;1901;1080000;Gdańsk Dolne Miasto;
Słoneczne mieszkanie w świetnej lokalizacji!;48.2;2;1;2012;439000;Gdańsk Morena;
Zarabiaj 60 000 zł rocznie!;73.5;6;3;1980;659000;Gdańsk Morena;
HIT! Wyjątkowe mieszkanie w centrum miasta!;63.3;3;3;1999;539000;Gdańsk Siedlce;
Gotowiec inwestycyjny (6 pokoi) w centrum Moreny!;72.8;6;4;1980;640000;Gdańsk Morena;
Przestronne 3 pokoje Gdańsk / 2 łazienki / balkon;74.5;3;0;NaN;540000;Gdańsk Rębowo;
Komfortowe 3 pokoje Gdańsk Śródmieście / balkon;64.18;3;2;2016;720000;Gdańsk Długie Ogrody;
Nowoczesny apartament Gdańsk Śródmieście 3 pokoje;60.0;3;11;2016;860000;Gdańsk Śródmieście;
Gdańsk Wrzeszcz dosonałe dla rodziny, pod wynajem;65.59;3;1;1960;540000;Gdańsk Wrzeszcz;
Dwupokojowe mieszkanie z widokiem na Motławę!;38.9;2;3;2017;650000;Gdańsk Stare Przedmieście;
Nowoczesne 3 pokoje z balkonem, Browar Gdański;72.0;3;2;2018;1054999;Gdańsk Wrzeszcz;
Mieszkanie - Gdańsk Morena;60.52;2;2;2018;649000;Gdańsk Morena;
MIeszkanie 44m/Morena ul. Piecewska/2 pokoje;44.41;2;5;1990;440000;Gdańsk Morena;
Elegancko urządzony  apartament 500 m od morza;44.31;2;4;2009;789000;Gdańsk Przymorze;
Mieszkanie - Gdańsk Chełm;69.0;3;2;2007;620000;Gdańsk Ujeścisko;
Luksusowy penthouse 16 piętro z boskim widokiem!;123.0;3;16;2010;1739999;Gdańsk Wrzeszcz;
4 POKOJOWE MIESZKANIE BLISKO LASU;63.2;4;2;1990;520000;Gdańsk Niedźwiednik;
Komfortowe 2 pokoje Gdańsk Zaspa;52.0;2;1;2017;635000;Gdańsk Zaspa;
Rezydencja Wintera - Apartament dwupoziomowy!;102.0;4;4;2018;970000;Gdańsk Śródmieście;
PIĘKNE MIESZKANIE DLA RODZINY Z DUŻYM OGRODEM!;70.5;3;0;2007;720000;Gdańsk Morena;
Mieszkanie - Gdańsk Środmieście;65.3;2;3;2010;973000;Gdańsk Długie Ogrody;
Mieszkanie - Gdańsk Środmieście;85.4;3;3;2010;1272000;Gdańsk Długie Ogrody;
Apartamenty inwestycyjne tuż przy Motławie!;86.0;3;1;2018;1089000;Gdańsk Długie Ogrody;
Apartamenty inwestycyjne tuż przy Motławie!;86.0;3;3;2018;1089000;Gdańsk Długie Ogrody;
Apartamenty inwestycyjne tuż przy Motławie!;86.0;3;5;2018;1089000;Gdańsk Długie Ogrody;
Mieszkanie - Gdańsk Morena;44.41;2;5;NaN;439000;Gdańsk Morena;
Dwa apartamenty na Starówce - Świetna inwestycja !;65.0;4;1;2019;896000;Gdańsk Długie Ogrody;
3 pokoje na gdańskich Kowalach;60.8;3;3;2001;449000;Gdańsk Kowale;
Przytulny, dwupokojowy na Wyspie Spichrzów;37.0;2;8;2020;580000;Gdańsk Śródmieście;
Mieszkanie - Gdańsk Śródmieście, 1 095 000 zł;78.84;4;8;2019;1095000;Gdańsk Śródmieście;
Słoneczne dwa pokoje w Albatross Tower - 13 piętro;38.0;2;13;2014;449000;Gdańsk Przymorze;
Gdańsk, Śródmieście, 3 pokoje, 41m2;41.13;3;5;1970;339999;Gdańsk Długie Ogrody;
Dwa w jednym, w centrum Gdańska;65.0;4;1;2018;896000;Gdańsk Długie Ogrody;
Wyjątkowy Apartament 66m2 Myśliwska Park;66.0;3;1;2011;650000;Gdańsk Morena;
Najpiękniejszy widok na Neptun Park;95.6;2;2;2009;2490000;Gdańsk Jelitkowo;
Apartament 2-pokojowy na Wyspie Spichrzów!;37.0;2;1;2020;513300;Gdańsk Śródmieście;
Na Sprzedaż Gdańsk Przymorze 2 pokoje Okazja;32.0;2;4;1970;335000;Gdańsk Przymorze;
WYJĄTKOWY APARTMAMENT I 2 POKOJE I CENTRUM MIASTA;40.0;2;3;2017;650000;Gdańsk Stare Przedmieście;
WYJĄTKOWY APARTMAMENT I 2 POKOJE I CENTRUM MIASTA;40.0;2;4;2017;650000;Gdańsk Stare Przedmieście;
Mieszkanie - Gdańsk Zaspa;63.4;3;4;1980;569000;Gdańsk Zaspa;
Dwupokojowe mieszkanie na Żabiance;35.5;2;5;NaN;369000;Gdańsk Żabianka;
Piękne 3 pokoje na Lawendowym Wzgórzu!;51.0;3;3;NaN;600000;Gdańsk Szadółki;
Mieszkanie Gdańsk Jasień Gardenia Goska - prysznic i wanna;68.5;3;5;2012;660000;Gdańsk Jasień;
Mieszkanie 3 pokoje, Gdańsk, Wrzeszcz, Al. Grunwaldzka. Bez prowizji.;80.8;3;2;1900;560000;Gdańsk Wrzeszcz;
Kompaktowe, jasne wnętrze blisko gdańskiej starówk;42.6;2;5;2017;639000;Gdańsk Stare Przedmieście;
Między plażą a Starówką;42.0;2;3;1978;345000;Gdańsk Przeróbka;
2 pok z os. kuchnią, niski blok, 1piętro Przymorze;44.0;2;1;1980;429000;Gdańsk Przymorze;
Apartament nad morzem -stan deweloperski OKAZJA!;57.96;3;1;2019;946000;Gdańsk Wrzeszcz;
Gdańsk Wrzeszcz Grudziądzka;65.06;3;1;2019;952000;Gdańsk Wrzeszcz;
Apartament po remoncie - Gdańsk Starówka;48.0;2;2;1956;575950;Gdańsk Śródmieście;
3 pokoje na Morenie, PO KAPITALNYM REMONCIE;62.0;3;4;1980;495000;Gdańsk Morena;
Mieszkanie 2 Pokojowe z Balkonem - Morena - Migowskie Tarasy;48.0;2;1;2012;450000;Gdańsk Morena;
3-pokoje centrum Wrzeszcza blisko komunikacji;57.39;3;2;1929;489000;Gdańsk Wrzeszcz;
Okazja!47m2- Mieszkanie Lenartowicza. BEZ prowizji;47.0;2;0;1961;320000;Gdańsk Przeróbka;
